H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro,H_GPS_bias
584.09,0.007098663,1496,1900,1498,0.022061704,0.001131158,0.000864699,-0.122905388,0.000375432,0.000252172,0.000217863,0,0,-1.001,0.031,-0.01,0.01,0,945.0421143,584.09
584.09,0.007098663,1496,1900,1498,0.022061704,0.001131158,0.000864699,-0.122905388,0.000375432,0.000252172,0.000217863,0,0,-1.001,0.031,-0.01,0.01,0,945.0421143,584.09
584.09,0.007098663,1496,1900,1498,0.022061704,0.001131158,0.000864699,-0.122905388,0.000375432,0.000252172,0.000217863,0,0,-1.001,0.031,-0.01,0.01,0,945.0421143,584.09
584.09,0.007098663,1496,1900,1498,0.022061704,0.001131158,0.000864699,-0.122905388,0.000375432,0.000252172,0.000217863,0,0,-1.001,0.031,-0.01,0.01,0,945.0421143,584.09
584.09,0.007098663,1496,1900,1498,0.022061704,0.001131158,0.000864699,-0.122905388,0.000375432,0.000252172,0.000217863,0,0,-1.001,0.031,-0.01,0.01,0,945.0421143,584.09
584.09,0.008317306,1496,1900,1498,0.022061704,0.001131158,0.000864699,-0.122905388,0.000375432,0.000252172,0.000217863,0,0,-1.001,0.031,-0.01,0.01,0,945.0421143,584.09
584.09,0.008317306,1496,1900,1498,0.022061704,0.001131158,0.000864699,-0.122905388,0.000375432,0.000252172,0.000217863,0,0,-1.001,0.031,-0.01,0.01,0,945.0421143,584.09
584.09,0.008317306,1496,1900,1498,0.022061704,0.001131158,0.000864699,-0.122905388,0.000375432,0.000252172,0.000217863,0,0,-1.001,0.031,-0.01,0.01,0,945.0421143,584.09
584.09,0.008317306,1496,1900,1498,0.022061704,0.001131158,0.000864699,-0.122905388,0.000375432,0.000252172,0.000217863,0,0,-1,0.031,-0.01,0.01,0,945.0421143,584.09
584.09,0.008317306,1496,1900,1498,0.022061704,0.001131158,0.000864699,-0.122905388,0.000375432,0.000252172,0.000217863,0,0,-1,0.031,-0.01,0.01,0,945.0421143,584.09
